subsistema;periodo;cuartil_docente;centros;delta_docente_promedio;delta_estudiante_promedio;delta_tasa5_estudiantes_pp;retencion_docente_promedio_pct
Secundaria;Abril;Q1 mayor caída docente;77;-1,7658585187645301;-1,4394434450603915;-15,837585814457212;52,00259421595554
Secundaria;Abril;Q2;76;-0,9127004326800713;-0,9661451004671582;-10,595486013395622;52,90459568263676
Secundaria;Abril;Q3;76;-0,42634489693313216;-0,6789233929794266;-6,9074344240331085;53,048739872606916
Secundaria;Abril;Q4 mejor evolución docente;77;0,44376606683804626;0,023278334388617757;-1,0093485790904675;50,64933762942672
Secundaria;Junio;Q1 mayor caída docente;77;-2,997936016511868;-2,8618885096700795;-25,506257110352674;52,49629159508784
Secundaria;Junio;Q2;76;-2,0117912694430506;-2,4364643915285855;-22,23197629759684;52,86462604313779
Secundaria;Junio;Q3;76;-1,4221426745077985;-1,8739188290086495;-16,975140627835238;52,211497910443384
Secundaria;Junio;Q4 mejor evolución docente;77;-0,5539367637941723;-1,49822480875517;-14,150287324768493;51,252469205201436
Secundaria;Mayo;Q1 mayor caída docente;77;-2,8718772305496074;-3,1071226909736227;-23,965475518270548;53,49076546178355
Secundaria;Mayo;Q2;76;-1,9090909090909092;-2,455959031657356;-19,397889509621354;55,038645751102486
Secundaria;Mayo;Q3;76;-1,2519047619047619;-1,7024024590826974;-14,018389192978672;51,69549966672887
Secundaria;Mayo;Q4 mejor evolución docente;77;-0,3314199395770393;-1,288924007145802;-10,866428473271952;48,82563068053446
Secundaria;Mayo-Junio;Q1 mayor caída docente;77;-5,608177172061329;-5,878954974140553;-18,189078186796472;53,8623863084143
Secundaria;Mayo-Junio;Q2;76;-3,8101975440469835;-4,601711140361374;-15,795141797295681;53,051061628281765
Secundaria;Mayo-Junio;Q3;76;-2,77475;-3,8542591267000716;-13,540443808160344;51,356222937694994
Secundaria;Mayo-Junio;Q4 mejor evolución docente;77;-1,1200358315915198;-2,835189075630252;-10,36064425770308;50,933836637734295
UTU;Abril;Q1 mayor caída docente;52;-1,731829573934837;-0,43204769436671137;-4,392261832339701;49,253008189929226
UTU;Abril;Q2;51;-0,9136051675413807;-0,2913862209785979;-2,9569689177947516;51,51746296061831
UTU;Abril;Q3;51;-0,20960187353629978;-0,2604960509907164;-3,2839129832340306;56,23679228361056
UTU;Abril;Q4 mejor evolución docente;51;0,7965072133637054;0,20336216745552477;0,7344540558185075;50,56506893176781
UTU;Junio;Q1 mayor caída docente;52;-2,683276059564719;-1,9845629510825982;-19,326383319967924;48,77095078125123
UTU;Junio;Q2;51;-1,6943157894736842;-1,3891450295235783;-14,705168648386314;53,47984017441974
UTU;Junio;Q3;51;-1,137329286798179;-1,1654040404040404;-11,326500297088533;57,25247092913425
UTU;Junio;Q4 mejor evolución docente;51;0,02092050209205024;-0,6666129032258065;-5,967741935483871;46,61328815288443
UTU;Mayo;Q1 mayor caída docente;52;-2,7219641672196415;-1,6965785949105077;-15,633751369779617;49,35538824801061
UTU;Mayo;Q2;51;-1,6184264166326947;-1,202423213458867;-12,694860317950301;53,61531927498674
UTU;Mayo;Q3;51;-0,964744766801322;-1,10954282566786;-10,49986229688791;55,17193680492383
UTU;Mayo;Q4 mejor evolución docente;51;0,049645390070921946;-0,6418833227647431;-6,182625237793278;48,53195992500915
UTU;Mayo-Junio;Q1 mayor caída docente;52;-5,17997542997543;-3,4602730889151703;-16,06278894742501;48,581010818005524
UTU;Mayo-Junio;Q2;51;-3,1929964186231596;-2,701019607843137;-16,517647058823528;54,89169528428196
UTU;Mayo-Junio;Q3;51;-2,136051829268293;-2,2303775369171457;-12,744598821561068;55,52216880330465
UTU;Mayo-Junio;Q4 mejor evolución docente;51;-0,21566975568660485;-1,481385979049154;-8,283642224012892;47,15158310652167
